[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::_to_copy         0.00%     136.000us        32.91%       14.516s        1.210s       0.000us         0.00%       3.568ms     297.333us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      62.000us        32.91%       14.514s        3.629s       0.000us         0.00%       2.724ms     681.000us       9.19 Mb           0 b      -9.35 Mb      -9.35 Mb             4            --  
                                        ToCopyBackward0         0.00%      13.000us        32.91%       14.514s        3.629s       0.000us         0.00%       2.724ms     681.000us       9.19 Mb           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%     551.000us        15.97%        7.045s     135.481ms       0.000us         0.00%       10.982s     211.196ms           0 b           0 b      27.69 Gb    -937.28 Mb            52            --  
                       Conv2dRFFTPhasorFunctionBackward         0.03%      11.463ms        15.97%        7.044s     135.471ms       0.000us         0.00%       10.982s     211.196ms           0 b           0 b      28.60 Gb   -1033.35 Gb            52            --  
                                       cudaLaunchKernel        14.79%        6.524s        14.79%        6.524s       1.336ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4884            --  
                       Conv2dRFFTPhasorFunction Step#11        12.48%        5.504s        12.53%        5.526s        5.526s       0.000us         0.00%        1.608s        1.608s          -4 b      -2.30 Mb           0 b    -494.16 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        12.48%        5.505s        12.53%        5.526s        5.526s       0.000us         0.00%        1.609s        1.609s          -4 b      -2.30 Mb           0 b    -493.74 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        12.48%        5.505s        12.53%        5.525s        5.525s       0.000us         0.00%        1.609s        1.609s          -4 b      -2.30 Mb           0 b    -494.16 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        12.47%        5.502s        12.52%        5.524s        5.524s       0.000us         0.00%        1.608s        1.608s       4.60 Mb       2.30 Mb           0 b    -493.74 Mb             1            --  
                                        aten::fft_rfftn         0.00%       1.267ms         7.34%        3.238s      12.454ms       0.000us         0.00%        2.766s      10.640ms           0 b           0 b      60.82 Gb     -46.33 Gb           260            --  
                                         aten::_fft_r2c         0.02%       8.151ms         5.84%        2.574s       9.900ms        2.500s        11.33%        2.500s       9.616ms           0 b           0 b      50.25 Gb    -126.74 Gb           260            --  
                                              aten::abs         0.94%     416.419ms         3.82%        1.684s       2.699ms       0.000us         0.00%        1.084s       1.737ms           0 b           0 b      23.94 Gb     -91.90 Gb           624            --  
                                            aten::angle         0.74%     327.234ms         3.26%        1.437s       2.303ms       0.000us         0.00%        1.084s       1.737ms           0 b           0 b      61.71 Gb     -91.63 Gb           624            --  
                                       aten::fft_irfftn         0.00%     485.000us         2.55%        1.123s       7.201ms       0.000us         0.00%        1.839s      11.788ms           0 b           0 b      29.45 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.01%       5.496ms         2.55%        1.123s       7.198ms        1.316s         5.96%        1.839s      11.788ms           0 b           0 b      29.45 Gb     -85.19 Gb           156            --  
                                  aten::constant_pad_nd         0.01%       3.083ms         2.10%     926.597ms       3.564ms       0.000us         0.00%     282.256ms       1.086ms           0 b           0 b      58.06 Gb           0 b           260            --  
                                              aten::mul         0.02%       7.119ms         1.21%     533.984ms     855.744us        8.159s        36.96%        8.159s      13.075ms        -320 b        -320 b     881.45 Gb     881.45 Gb           624     94918.623  
                                            aten::clone         0.00%       1.344ms         1.18%     520.650ms       1.356ms       0.000us         0.00%     836.301ms       2.178ms           0 b           0 b      91.45 Gb           0 b           384            --  
                                            aten::fill_         0.00%       1.632ms         1.01%     447.510ms       1.576ms     235.422ms         1.07%     235.422ms     828.951us           0 b           0 b           0 b           0 b           284            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     843.000us         0.68%     301.190ms       1.276ms       0.000us         0.00%      30.104ms     127.559us           0 b           0 b     -29.81 Gb           0 b           236            --  
                        torch::autograd::AccumulateGrad         0.00%     898.000us         0.68%     300.347ms       1.273ms       0.000us         0.00%      30.104ms     127.559us           0 b           0 b     -29.81 Gb     -29.81 Gb           236            --  
                                             aten::add_         0.00%       1.927ms         0.68%     300.302ms       1.057ms      30.241ms         0.14%      30.241ms     106.482us           0 b           0 b           0 b           0 b           284            --  
                                              aten::pad         0.00%     342.000us         0.60%     264.069ms       2.539ms       0.000us         0.00%      15.986ms     153.712us           0 b           0 b       1.15 Gb           0 b           104            --  
                                              aten::sum         0.01%       4.009ms         0.58%     254.178ms       1.155ms        1.808s         8.19%        1.808s       8.218ms           0 b           0 b      30.85 Gb      30.85 Gb           220            --  
