[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR100_Conv2dRFFTFunction_date-20240210-170631.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.00%      90.000us         0.01%      13.424ms       1.678ms       0.000us         0.00%     318.000us      39.750us           0 b           0 b     140.00 Kb           0 b             8            --  
                                            aten::addmm         0.00%     336.000us         0.01%      13.256ms       1.657ms     318.000us         0.00%     318.000us      39.750us           0 b           0 b     140.00 Kb     140.00 Kb             8        62.259  
                                           aten::select         0.01%       8.597ms         0.01%      10.518ms       3.901us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2696            --  
                                         AddmmBackward0         0.00%     163.000us         0.01%      10.125ms       2.531ms       0.000us         0.00%      99.000us      24.750us           0 b           0 b       3.38 Mb           0 b             4            --  
                                               aten::mm         0.00%     288.000us         0.01%       9.810ms       1.226ms      99.000us         0.00%      99.000us      12.375us           0 b           0 b       3.38 Mb       3.38 Mb             8        26.214  
                                            aten::slice         0.01%       6.935ms         0.01%       9.731ms       2.822us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3448            --  
                                       aten::contiguous         0.00%     115.000us         0.01%       8.779ms     121.931us       0.000us         0.00%       4.676ms      64.944us           0 b           0 b     530.55 Mb           0 b            72            --  
                                       aten::as_strided         0.01%       8.359ms         0.01%       8.359ms       0.855us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9772            --  
                                     aten::view_as_real         0.01%       7.713ms         0.01%       7.713ms       2.887us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                                    aten::empty_strided         0.01%       7.551ms         0.01%       7.551ms       5.993us       0.000us         0.00%       0.000us       0.000us      32.74 Mb      32.74 Mb      28.15 Gb      28.15 Gb          1260            --  
      autograd::engine::evaluate_function: MulBackward0         0.00%      84.000us         0.01%       6.677ms     556.417us       0.000us         0.00%     278.000us      23.167us         -96 b         -96 b       2.00 Kb     -32.74 Mb            12            --  
                                           MulBackward0         0.00%      56.000us         0.01%       6.593ms     549.417us       0.000us         0.00%     278.000us      23.167us           0 b           0 b      32.74 Mb           0 b            12            --  
                                           aten::narrow         0.00%       1.959ms         0.01%       6.151ms       3.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1636            --  
                                            aten::zeros         0.00%     191.000us         0.01%       5.638ms     176.188us       0.000us         0.00%     760.000us      23.750us          32 b           0 b     200.05 Mb           0 b            32            --  
                                        aten::unsqueeze         0.00%       3.929ms         0.01%       5.378ms       4.768us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1128            --  
                                          aten::reshape         0.00%       3.620ms         0.01%       5.069ms       2.835us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1788            --  
                                          aten::permute         0.00%       3.569ms         0.01%       4.941ms       2.770us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                            aten::_conj         0.00%       2.881ms         0.00%       3.514ms       2.615us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1344            --  
                                          aten::resize_         0.00%       3.252ms         0.00%       3.252ms       1.823us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      78.000us         0.00%       3.227ms     268.917us       0.000us         0.00%     696.000us      58.000us           0 b           0 b      69.08 Mb     -32.74 Mb            12            --  
                                        SelectBackward0         0.00%      39.000us         0.00%       3.149ms     262.417us       0.000us         0.00%     696.000us      58.000us           0 b           0 b     101.83 Mb           0 b            12            --  
                                  aten::select_backward         0.00%      95.000us         0.00%       3.110ms     259.167us       0.000us         0.00%     696.000us      58.000us           0 b           0 b     101.83 Mb           0 b            12            --  
                              aten::adaptive_avg_pool2d         0.00%      40.000us         0.00%       2.603ms     325.375us       0.000us         0.00%     162.000us      20.250us           0 b           0 b     352.00 Kb           0 b             8            --  
                                             aten::mean         0.00%     177.000us         0.00%       2.563ms     320.375us     162.000us         0.00%     162.000us      20.250us           0 b           0 b     352.00 Kb     352.00 Kb             8            --  
                                          aten::dropout         0.00%      19.000us         0.00%       2.471ms     617.750us       0.000us         0.00%      27.000us       6.750us           0 b           0 b     320.00 Kb           0 b             4            --  
                                   aten::native_dropout         0.00%     103.000us         0.00%       2.452ms     613.000us      27.000us         0.00%      27.000us       6.750us           0 b           0 b     320.00 Kb           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 89.707s
Self CUDA time total: 47.850s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR100_Conv2dRFFTPhasorFunction_date-20240210-170631.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     180.000us        53.98%       37.394s        9.348s       0.000us         0.00%        8.603s        2.151s      16.37 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        38.04%       26.352s        38.04%       26.352s       1.053ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         25016            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.01%       3.691ms        32.94%       22.819s     103.723ms       0.000us         0.00%       21.548s      97.946ms           0 b           0 b      22.01 Gb      -2.97 Gb           220            --  
                       Conv2dRFFTPhasorFunctionBackward         0.07%      51.742ms        32.67%       22.634s     102.880ms       0.000us         0.00%       21.537s      97.896ms           0 b           0 b      24.18 Gb   -1662.27 Gb           220            --  
                                            aten::copy_         0.05%      36.184ms        15.38%       10.654s       2.012ms        1.526s         4.10%        1.526s     288.136us           0 b           0 b     -97.44 Mb     -97.44 Mb          5296            --  
                        Conv2dRFFTPhasorFunction Step#9        11.53%        7.986s        13.50%        9.349s        9.349s       0.000us         0.00%        2.151s        2.151s          -4 b      -8.19 Mb           0 b    -938.35 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        11.53%        7.986s        13.49%        9.349s        9.349s       0.000us         0.00%        2.151s        2.151s          -4 b      -8.19 Mb           0 b    -939.81 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        11.53%        7.986s        13.49%        9.348s        9.348s       0.000us         0.00%        2.151s        2.151s      16.37 Mb       8.18 Mb           0 b    -939.81 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        11.53%        7.986s        13.49%        9.348s        9.348s       0.000us         0.00%        2.151s        2.151s          -4 b      -8.19 Mb           0 b    -938.35 Mb             1            --  
                                              aten::abs         2.95%        2.047s        12.18%        8.441s       3.159ms       0.000us         0.00%     943.100ms     352.957us           0 b           0 b      22.37 Gb     -79.85 Gb          2672            --  
                                       aten::fft_irfftn         0.00%       2.270ms        11.11%        7.694s      11.518ms       0.000us         0.00%        7.493s      11.217ms           0 b           0 b      25.01 Gb           0 b           668            --  
                                         aten::_fft_c2r         0.05%      31.979ms        11.10%        7.692s      11.514ms        7.044s        18.91%        7.493s      11.217ms           0 b           0 b      25.01 Gb    -289.14 Gb           668            --  
                                            aten::angle         2.18%        1.512s         9.20%        6.375s       2.386ms       0.000us         0.00%     941.604ms     352.397us           0 b           0 b      54.31 Gb     -79.76 Gb          2672            --  
                                        aten::fft_rfftn         0.01%       5.133ms         8.67%        6.006s       5.381ms       0.000us         0.00%        2.233s       2.001ms           0 b           0 b      53.35 Gb     -38.92 Gb          1116            --  
                                        cudaMemcpyAsync         8.42%        5.836s         8.42%        5.836s       5.634ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1036            --  
                                         aten::_fft_r2c         0.06%      39.843ms         7.36%        5.096s       4.566ms        1.985s         5.33%        1.985s       1.778ms           0 b           0 b      46.23 Gb    -109.62 Gb          1116            --  
                                               aten::to         0.00%     113.000us         6.86%        4.756s     297.222ms       0.000us         0.00%      18.388ms       1.149ms      32.74 Mb           0 b      32.75 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     168.000us         6.86%        4.755s     396.286ms       0.000us         0.00%      18.388ms       1.532ms      32.74 Mb           0 b      32.75 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      72.000us         6.85%        4.748s        1.187s       0.000us         0.00%      12.366ms       3.091ms      32.74 Mb           0 b     -32.74 Mb     -32.74 Mb             4            --  
                                        ToCopyBackward0         0.00%      21.000us         6.85%        4.748s        1.187s       0.000us         0.00%      12.366ms       3.091ms      32.74 Mb           0 b           0 b           0 b             4            --  
                               Conv2dRFFTPhasorFunction         0.05%      35.516ms         6.25%        4.332s      18.999ms       0.000us         0.00%        8.524s      37.388ms           0 b           0 b     854.25 Mb    -847.53 Gb           228            --  
                                              aten::mul         0.04%      29.860ms         4.54%        3.146s       1.167ms       13.680s        36.72%       13.680s       5.074ms      -1.00 Kb      -1.00 Kb    1482.67 Gb    1482.67 Gb          2696    159728.736  
                                            aten::clone         0.01%       7.759ms         2.79%        1.933s     976.334us       0.000us         0.00%     740.327ms     373.903us           0 b           0 b      81.33 Gb           0 b          1980            --  
