[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::angle         2.72%     865.594ms        11.27%        3.581s     626.856us       0.000us         0.00%     966.398ms     169.187us           0 b           0 b      55.49 Gb     -80.50 Gb          5712            --  
                                       aten::fft_irfftn         0.01%       4.108ms         7.49%        2.382s       1.668ms       0.000us         0.00%        1.660s       1.163ms           0 b           0 b      25.59 Gb           0 b          1428            --  
                                         aten::_fft_c2r         0.17%      52.958ms         7.48%        2.378s       1.665ms        1.203s         6.28%        1.660s       1.163ms           0 b           0 b      25.59 Gb     -81.09 Gb          1428            --  
                                  aten::constant_pad_nd         0.06%      17.676ms         4.40%        1.398s     654.607us       0.000us         0.00%     250.987ms     117.503us           0 b           0 b      50.56 Gb           0 b          2136            --  
                                              aten::mul         0.20%      63.790ms         3.61%        1.146s     200.647us        7.240s        37.79%        7.240s       1.267ms      -2.43 Kb      -2.43 Kb     790.36 Gb     790.36 Gb          5712     85181.101  
                                            aten::clone         0.04%      12.767ms         3.53%        1.120s     293.301us       0.000us         0.00%     749.691ms     196.254us           0 b           0 b      82.55 Gb           0 b          3820            --  
                                              aten::add         0.11%      33.565ms         1.84%     585.867ms     164.200us        1.422s         7.42%        1.422s     398.571us           0 b           0 b     158.59 Gb     158.59 Gb          3568       464.306  
                                             aten::add_         0.05%      14.799ms         1.72%     546.513ms     281.708us      12.178ms         0.06%      12.178ms       6.277us          -8 b          -8 b     -12.00 Kb     -12.00 Kb          1940            --  
                                            aten::fill_         0.03%       9.899ms         1.70%     539.529ms     326.591us     197.575ms         1.03%     197.575ms     119.597us           0 b           0 b           0 b           0 b          1652            --  
                                             aten::mul_         0.03%       9.681ms         1.47%     468.195ms     327.868us       0.000us         0.00%     218.929ms     153.312us           0 b       2.43 Kb           0 b           0 b          1428            --  
autograd::engine::evaluate_function: torch::autograd...         0.02%       5.196ms         1.40%     445.424ms     305.085us       0.000us         0.00%      11.011ms       7.542us           0 b           0 b     -24.29 Gb           0 b          1460            --  
                        torch::autograd::AccumulateGrad         0.02%       6.087ms         1.39%     440.228ms     301.526us       0.000us         0.00%      11.011ms       7.542us           0 b           0 b     -24.29 Gb     -24.29 Gb          1460            --  
                                              aten::pad         0.01%       2.733ms         1.21%     385.372ms     404.803us       0.000us         0.00%      19.094ms      20.057us           0 b           0 b       1.84 Gb           0 b           952            --  
      autograd::engine::evaluate_function: CatBackward0         0.04%      11.924ms         1.18%     376.111ms       1.517ms       0.000us         0.00%      10.403ms      41.948us           0 b           0 b    -567.68 Mb      -1.07 Gb           248            --  
                                              aten::sum         0.08%      24.645ms         0.93%     295.388ms     206.277us        1.476s         7.70%        1.476s       1.031ms           0 b           0 b      27.76 Gb      27.76 Gb          1432            --  
                                              aten::exp         0.69%     218.049ms         0.69%     218.049ms     152.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     316.15 Gb     316.15 Gb          1428            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%       3.534ms         0.47%     149.284ms     308.438us       0.000us         0.00%      12.588ms      26.008us           0 b           0 b    -980.83 Mb      -1.93 Gb           484            --  
                                          ReluBackward0         0.01%       2.041ms         0.46%     145.750ms     301.136us       0.000us         0.00%      12.588ms      26.008us           0 b           0 b     994.82 Mb           0 b           484            --  
                               aten::threshold_backward         0.02%       6.047ms         0.45%     143.709ms     296.919us      12.588ms         0.07%      12.588ms      26.008us           0 b           0 b     994.82 Mb     994.82 Mb           484            --  
