[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
        autograd::engine::evaluate_function: TBackward0         0.00%     101.000us         0.00%     248.000us      20.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                       aten::zeros_like         0.00%      30.000us         0.00%     242.000us      60.500us       0.000us         0.00%      38.000us       9.500us           0 b           0 b       9.00 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%      93.000us         0.00%     239.000us      59.750us     971.000us         0.01%     971.000us     242.750us           0 b           0 b       9.00 Mb           0 b             4            --  
                                        aten::_neg_view         0.00%     192.000us         0.00%     215.000us       6.719us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                            aten::zeros         0.00%     111.000us         0.00%     212.000us      26.500us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                 cudaFuncSetCacheConfig         0.00%     192.000us         0.00%     192.000us       0.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240            --  
                                      aten::as_strided_         0.00%     149.000us         0.00%     149.000us       1.164us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                             TBackward0         0.00%      39.000us         0.00%     147.000us      12.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                         cudaEventQuery         0.00%     126.000us         0.00%     126.000us       7.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      32.000us         0.00%      99.000us      24.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::alias         0.00%      96.000us         0.00%      96.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                           aten::detach         0.00%      27.000us         0.00%      84.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                        cudaBindTexture         0.00%      78.000us         0.00%      78.000us       9.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                  ReshapeAliasBackward0         0.00%      19.000us         0.00%      67.000us      16.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.686s
Self CUDA time total: 11.672s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTPhasorFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     224.000us        52.10%        9.190s        2.297s       0.000us         0.00%        2.272s     568.043ms      36.77 Mb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.04%       6.422ms        47.72%        8.417s      20.834ms     261.672ms         3.04%     261.672ms     647.703us           0 b           0 b           0 b           0 b           404            --  
                                               aten::to         0.00%     323.000us        47.66%        8.406s     700.499ms       0.000us         0.00%     163.386ms      13.616ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     684.000us        47.66%        8.406s     700.472ms       0.000us         0.00%     163.386ms      13.616ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
                                        cudaMemcpyAsync        47.66%        8.406s        47.66%        8.406s     140.092ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     213.000us        47.37%        8.354s        2.089s       0.000us         0.00%     115.236ms      28.809ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      47.000us        47.37%        8.354s        2.088s       0.000us         0.00%     115.236ms      28.809ms     147.00 Mb           0 b           0 b           0 b             4            --  
                        Conv2dRFFTPhasorFunction Step#9        12.08%        2.131s        13.11%        2.311s        2.311s       0.000us         0.00%     574.547ms     574.547ms          -4 b     -36.77 Mb           0 b    -229.92 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        12.10%        2.134s        13.04%        2.300s        2.300s       0.000us         0.00%     566.872ms     566.872ms      36.77 Mb          -4 b           0 b    -230.25 Mb             1            --  
