[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::view         0.00%     288.000us         0.00%     288.000us       1.756us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           164            --  
                                        cudaMemsetAsync         0.00%     286.000us         0.00%     286.000us      10.214us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                            aten::addmm         0.00%     178.000us         0.00%     281.000us      70.250us      77.000us         0.00%      77.000us      19.250us           0 b           0 b     100.00 Kb     100.00 Kb             4        26.214  
                                                aten::t         0.00%     107.000us         0.00%     274.000us      13.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                        cudaBindTexture         0.00%     270.000us         0.00%     270.000us       4.821us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            56            --  
                                              aten::div         0.00%     175.000us         0.00%     242.000us      60.500us     101.000us         0.00%     101.000us      25.250us           0 b           0 b      24.50 Mb      24.50 Mb             4            --  
                                            aten::alias         0.00%     210.000us         0.00%     210.000us       0.505us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     177.000us         0.00%     198.000us       6.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                 cudaFuncSetCacheConfig         0.00%     193.000us         0.00%     193.000us       0.386us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           500            --  
                                       aten::max_pool2d         0.00%      17.000us         0.00%     171.000us      42.750us       0.000us         0.00%       6.506ms       1.627ms           0 b           0 b     588.00 Mb           0 b             4            --  
                                        aten::transpose         0.00%     111.000us         0.00%     167.000us       8.350us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                              aten::adaptive_avg_pool2d         0.00%      16.000us         0.00%     163.000us      40.750us       0.000us         0.00%     226.000us      56.500us           0 b           0 b     512.00 Kb           0 b             4            --  
                          aten::max_pool2d_with_indices         0.00%      98.000us         0.00%     154.000us      38.500us       6.506ms         0.02%       6.506ms       1.627ms           0 b           0 b     588.00 Mb     588.00 Mb             4            --  
                                             aten::mean         0.00%      97.000us         0.00%     147.000us      36.750us     226.000us         0.00%     226.000us      56.500us           0 b           0 b     512.00 Kb     512.00 Kb             4            --  
                                           aten::detach         0.00%      32.000us         0.00%      86.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
