-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.03%       5.601ms        48.09%        8.528s      21.108ms     304.521ms         3.52%     304.521ms     753.765us           0 b           0 b           0 b           0 b           404            --  
                                               aten::to         0.00%     200.000us        48.04%        8.518s     709.870ms       0.000us         0.00%     206.186ms      17.182ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     464.000us        48.04%        8.518s     709.853ms       0.000us         0.00%     206.186ms      17.182ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
                                        cudaMemcpyAsync        48.04%        8.518s        48.04%        8.518s     141.965ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     300.000us        47.82%        8.479s        2.120s       0.000us         0.00%     169.066ms      42.267ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      44.000us        47.82%        8.479s        2.120s       0.000us         0.00%     169.066ms      42.267ms     147.00 Mb           0 b           0 b           0 b             4            --  
                        Conv2dRFFTPhasorFunction Step#9        12.10%        2.146s        13.00%        2.306s        2.306s       0.000us         0.00%     565.648ms     565.648ms          -4 b     -36.75 Mb           0 b    -229.05 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        12.13%        2.150s        12.96%        2.297s        2.297s       0.000us         0.00%     565.352ms     565.352ms      36.75 Mb        -268 b           0 b    -230.46 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        12.13%        2.151s        12.93%        2.292s        2.292s       0.000us         0.00%     564.545ms     564.545ms          -4 b     -36.75 Mb           0 b    -229.05 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        12.10%        2.145s        12.90%        2.288s        2.288s       0.000us         0.00%     565.706ms     565.706ms          -4 b     -36.75 Mb           0 b    -230.46 Mb             1            --  
