-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::alias         0.01%       6.905ms         0.01%       6.905ms       1.595us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4328            --  
                                           aten::narrow         0.00%       1.874ms         0.01%       5.800ms       7.108us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           816            --  
                                   aten::_reshape_alias         0.01%       5.078ms         0.01%       5.078ms       1.448us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3508            --  
                                        aten::_neg_view         0.01%       4.246ms         0.01%       4.955ms       6.013us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           824            --  
                                      aten::as_strided_         0.01%       4.113ms         0.01%       4.113ms       1.248us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                 cudaFuncSetCacheConfig         0.00%       2.087ms         0.00%       2.087ms       1.003us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2080            --  
                                             aten::view         0.00%       1.642ms         0.00%       1.642ms       2.615us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           628            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     222.000us         0.00%       1.272ms     318.000us       0.000us         0.00%      96.000us      24.000us           0 b           0 b     242.00 Kb    -384.00 Kb             4            --  
                                           aten::expand         0.00%     831.000us         0.00%       1.076ms       9.607us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           112            --  
                                         AddmmBackward0         0.00%     147.000us         0.00%     806.000us     201.500us       0.000us         0.00%      75.000us      18.750us           0 b           0 b     624.00 Kb           0 b             4            --  
                                aten::cudnn_convolution         0.00%     436.000us         0.00%     789.000us     197.250us     979.000us         0.00%     979.000us     244.750us           0 b           0 b     122.50 Mb     122.21 Mb             4            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%      66.000us         0.00%     734.000us     183.500us       0.000us         0.00%      20.000us       5.000us           0 b           0 b    -384.00 Kb    -768.00 Kb             4            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     618.000us         0.00%     719.000us       9.461us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            76            --  
                            torch::autograd::CopySlices         0.00%      99.000us         0.00%     668.000us     167.000us       0.000us         0.00%      20.000us       5.000us           0 b           0 b     384.00 Kb    -768.00 Kb             4            --  
                                         aten::dropout_         0.00%      69.000us         0.00%     589.000us     147.250us       0.000us         0.00%      39.000us       9.750us           0 b           0 b     384.00 Kb           0 b             4            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      42.000us         0.00%     576.000us     144.000us       0.000us         0.00%      12.000us       3.000us           0 b           0 b           0 b    -384.00 Kb             4            --  
                                           aten::linear         0.00%      70.000us         0.00%     564.000us     141.000us       0.000us         0.00%     152.000us      38.000us           0 b           0 b       4.00 Kb           0 b             4            --  
                                     AsStridedBackward0         0.00%      95.000us         0.00%     534.000us     133.500us       0.000us         0.00%      12.000us       3.000us           0 b           0 b     384.00 Kb           0 b             4            --  
                                               aten::mm         0.00%     244.000us         0.00%     478.000us      59.750us      75.000us         0.00%      75.000us       9.375us           0 b           0 b     624.00 Kb     624.00 Kb             8         3.932  
                                            aten::addmm         0.00%     267.000us         0.00%     412.000us     103.000us     152.000us         0.00%     152.000us      38.000us           0 b           0 b       4.00 Kb       4.00 Kb             4         1.966  
                                  cudaStreamSynchronize         0.00%     314.000us         0.00%     314.000us      26.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                                aten::t         0.00%     142.000us         0.00%     297.000us      14.850us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                        aten::new_zeros         0.00%      51.000us         0.00%     246.000us      61.500us       0.000us         0.00%       4.000us       1.000us           0 b           0 b     384.00 Kb           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 81.348s
