-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
        autograd::engine::evaluate_function: TBackward0         0.00%      37.000us         0.00%      83.000us      20.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 78.702s
Self CUDA time total: 39.169s


-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTPhasorFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     201.000us        50.44%       28.872s        7.218s       0.000us         0.00%        7.398s        1.850s      36.75 Mb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.02%      14.157ms        28.94%       16.565s      12.626ms     513.422ms         1.80%     513.422ms     391.328us           0 b           0 b           0 b           0 b          1312            --  
                                        cudaMemcpyAsync        26.67%       15.264s        26.67%       15.264s      90.859ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%     195.000us        26.15%       14.966s     935.372ms       0.000us         0.00%     122.200ms       7.638ms     147.00 Mb           0 b     147.01 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     417.000us        26.15%       14.966s        1.247s       0.000us         0.00%     122.200ms      10.183ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     155.000us        26.11%       14.946s        3.736s       0.000us         0.00%     104.061ms      26.015ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      30.000us        26.11%       14.946s        3.736s       0.000us         0.00%     104.061ms      26.015ms     147.00 Mb           0 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        19.89%       11.386s        19.89%       11.386s       1.777ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6408            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%       1.388ms        18.91%       10.824s     208.163ms       0.000us         0.00%       14.157s     272.251ms           0 b           0 b       2.55 Gb      -2.66 Gb            52            --  
                       Conv2dRFFTPhasorFunctionBackward         0.05%      26.196ms        18.61%       10.654s     204.880ms       0.000us         0.00%       14.149s     272.103ms           0 b           0 b       4.64 Gb   -1788.11 Gb            52            --  
                        Conv2dRFFTPhasorFunction Step#8        12.40%        7.096s        12.66%        7.247s        7.247s       0.000us         0.00%        1.850s        1.850s      36.75 Mb          -4 b           0 b      -1.74 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        12.42%        7.107s        12.60%        7.214s        7.214s       0.000us         0.00%        1.849s        1.849s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        12.41%        7.106s        12.60%        7.211s        7.211s       0.000us         0.00%        1.849s        1.849s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        12.41%        7.104s        12.58%        7.201s        7.201s       0.000us         0.00%        1.850s        1.850s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                                       aten::fft_irfftn         0.00%     944.000us         4.54%        2.599s      16.658ms       0.000us         0.00%     503.036ms       3.225ms           0 b           0 b       6.11 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.02%      10.592ms         4.54%        2.598s      16.652ms     394.201ms         1.38%     503.036ms       3.225ms           0 b           0 b       6.11 Gb     -21.41 Gb           156            --  
                                        aten::fft_rfftn         0.00%       2.208ms         4.34%        2.483s       9.551ms       0.000us         0.00%     461.193ms       1.774ms           0 b           0 b      11.54 Gb      -7.13 Gb           260            --  
                                              aten::mul         0.03%      14.566ms         4.06%        2.326s       3.728ms       14.535s        50.97%       14.535s      23.293ms          -8 b          -8 b    1656.56 Gb    1656.56 Gb           624    178493.719  
                                         aten::_fft_r2c         0.02%      12.874ms         3.12%        1.783s       6.858ms     402.003ms         1.41%     402.003ms       1.546ms           0 b           0 b      10.84 Gb     -22.96 Gb           260            --  
                                            aten::angle         0.72%     409.911ms         2.80%        1.602s       2.568ms       0.000us         0.00%     217.665ms     348.822us           0 b           0 b      13.09 Gb     -18.12 Gb           624            --  
                                              aten::abs         0.76%     435.163ms         2.69%        1.540s       2.468ms       0.000us         0.00%     217.764ms     348.981us           0 b           0 b       5.69 Gb     -18.12 Gb           624            --  
                                  aten::constant_pad_nd         0.01%       4.831ms         2.03%        1.163s       4.474ms       0.000us         0.00%     101.982ms     392.238us           0 b           0 b      10.74 Gb           0 b           260            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.442ms         1.84%        1.052s       4.173ms       0.000us         0.00%       4.498ms      17.849us           0 b           0 b      -3.21 Gb           0 b           252            --  
