-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Conv2dRFFTPhasorFunctionBackward         0.06%      26.239ms        15.83%        6.978s     134.186ms       0.000us         0.00%       10.983s     211.210ms           0 b           0 b      28.60 Gb   -1033.32 Gb            52            --  
                                       cudaLaunchKernel        14.55%        6.414s        14.55%        6.414s       1.313ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4884            --  
                       Conv2dRFFTPhasorFunction Step#10        12.47%        5.496s        12.55%        5.533s        5.533s       0.000us         0.00%        1.609s        1.609s          -4 b      -2.30 Mb           0 b    -494.44 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        12.47%        5.496s        12.55%        5.532s        5.532s       0.000us         0.00%        1.609s        1.609s          -4 b      -2.30 Mb           0 b    -493.10 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        12.47%        5.495s        12.55%        5.532s        5.532s       0.000us         0.00%        1.609s        1.609s          -4 b      -2.30 Mb           0 b    -493.10 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        12.46%        5.494s        12.55%        5.531s        5.531s       0.000us         0.00%        1.609s        1.609s       4.59 Mb       2.30 Mb           0 b    -494.44 Mb             1            --  
                                        aten::fft_rfftn         0.01%       2.475ms         7.38%        3.254s      12.514ms       0.000us         0.00%        2.767s      10.643ms           0 b           0 b      60.81 Gb     -56.65 Gb           260            --  
                                         aten::_fft_r2c         0.04%      17.088ms         5.87%        2.587s       9.951ms        2.501s        11.33%        2.501s       9.619ms           0 b           0 b      60.56 Gb    -119.11 Gb           260            --  
                                              aten::abs         0.94%     414.396ms         3.71%        1.635s       2.620ms       0.000us         0.00%        1.084s       1.737ms           0 b           0 b      30.81 Gb     -91.93 Gb           624            --  
                                            aten::angle         0.70%     307.963ms         3.08%        1.357s       2.175ms       0.000us         0.00%        1.084s       1.737ms           0 b           0 b      61.72 Gb     -91.93 Gb           624            --  
                                       aten::fft_irfftn         0.00%     989.000us         2.57%        1.134s       7.272ms       0.000us         0.00%        1.839s      11.789ms           0 b           0 b      29.45 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.03%      11.117ms         2.57%        1.133s       7.265ms        1.316s         5.96%        1.839s      11.789ms           0 b           0 b      29.45 Gb     -91.13 Gb           156            --  
                                  aten::constant_pad_nd         0.01%       5.634ms         2.11%     931.140ms       3.581ms       0.000us         0.00%     282.218ms       1.085ms           0 b           0 b      58.05 Gb           0 b           260            --  
                                              aten::mul         0.03%      14.199ms         1.22%     538.654ms     863.228us        8.158s        36.95%        8.158s      13.074ms          -8 b          -8 b     881.44 Gb     881.44 Gb           624     94918.623  
                                            aten::clone         0.01%       2.483ms         1.06%     466.867ms       1.216ms       0.000us         0.00%     836.310ms       2.178ms           0 b           0 b      91.44 Gb           0 b           384            --  
                                            aten::fill_         0.01%       3.458ms         1.01%     445.123ms       1.567ms     235.387ms         1.07%     235.387ms     828.827us           0 b           0 b           0 b           0 b           284            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.701ms         0.68%     299.715ms       1.270ms       0.000us         0.00%      30.072ms     127.424us           0 b           0 b     -29.81 Gb           0 b           236            --  
                        torch::autograd::AccumulateGrad         0.00%       1.905ms         0.68%     298.014ms       1.263ms       0.000us         0.00%      30.072ms     127.424us           0 b           0 b     -29.81 Gb     -29.81 Gb           236            --  
                                             aten::add_         0.01%       3.693ms         0.67%     297.513ms       1.048ms      30.189ms         0.14%      30.189ms     106.299us           0 b           0 b           0 b           0 b           284            --  
                                              aten::pad         0.00%     698.000us         0.61%     267.702ms       2.574ms       0.000us         0.00%      15.998ms     153.827us           0 b           0 b       1.15 Gb           0 b           104            --  
                                              aten::sum         0.02%       8.292ms         0.58%     256.157ms       1.164ms        1.809s         8.19%        1.809s       8.223ms           0 b           0 b      30.84 Gb      30.84 Gb           220            --  
                                             aten::mul_         0.00%       2.181ms         0.42%     185.515ms       1.189ms       0.000us         0.00%     256.248ms       1.643ms           0 b           8 b           0 b           0 b           156            --  
                               Conv2dRFFTPhasorFunction         0.03%      13.623ms         0.23%     101.121ms       1.945ms       0.000us         0.00%        6.388s     122.839ms           0 b           0 b     829.34 Mb    -532.35 Gb            52            --  
                                              aten::exp         0.16%      71.837ms         0.16%      71.837ms     460.494us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     352.58 Gb     352.58 Gb           156            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     334.000us         0.15%      67.658ms       3.383ms       0.000us         0.00%       7.806ms     390.300us           0 b           0 b      86.17 Mb    -287.45 Mb            20            --  
                          MaxPool2DWithIndicesBackward0         0.00%     210.000us         0.15%      67.324ms       3.366ms       0.000us         0.00%       7.806ms     390.300us           0 b           0 b     373.62 Mb           0 b            20            --  
                 aten::max_pool2d_with_indices_backward         0.00%     763.000us         0.15%      67.114ms       3.356ms       5.551ms         0.03%       7.806ms     390.300us           0 b           0 b     373.62 Mb     279.34 Mb            20            --  
                                       aten::contiguous         0.00%      67.000us         0.11%      49.235ms       2.462ms       0.000us         0.00%     861.000us      43.050us           0 b           0 b     103.59 Mb           0 b            20            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.138ms         0.10%      42.668ms     820.538us       0.000us         0.00%      17.475ms     336.058us           0 b           0 b    -822.14 Mb      -1.63 Gb            52            --  
                                CudnnBatchNormBackward0         0.00%     568.000us         0.09%      41.530ms     798.654us       0.000us         0.00%      17.475ms     336.058us           0 b           0 b     849.38 Mb           0 b            52            --  
                        aten::cudnn_batch_norm_backward         0.01%       2.711ms         0.09%      40.962ms     787.731us      17.475ms         0.08%      17.475ms     336.058us           0 b           0 b     849.38 Mb           0 b            52            --  
