-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              aten::adaptive_avg_pool2d         0.00%      18.000us         0.00%     160.000us      40.000us       0.000us         0.00%      66.000us      16.500us           0 b           0 b     128.00 Kb           0 b             4            --  
                                                aten::t         0.00%      73.000us         0.00%     145.000us       7.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                             aten::mean         0.00%      93.000us         0.00%     142.000us      35.500us      66.000us         0.00%      66.000us      16.500us           0 b           0 b     128.00 Kb     128.00 Kb             4            --  
                                              aten::div         0.00%      95.000us         0.00%     142.000us      35.500us      28.000us         0.00%      28.000us       7.000us           0 b           0 b       6.12 Mb       6.12 Mb             4            --  
                          aten::max_pool2d_with_indices         0.00%      94.000us         0.00%     138.000us      34.500us     835.000us         0.00%     835.000us     208.750us           0 b           0 b      73.50 Mb      73.50 Mb             4            --  
                                            aten::zeros         0.00%      51.000us         0.00%     118.000us      14.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                        aten::transpose         0.00%      49.000us         0.00%      72.000us       3.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 71.503s
Self CUDA time total: 43.044s


-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTPhasorFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     132.000us        60.25%       32.478s        8.120s       0.000us         0.00%        8.907s        2.227s       9.19 Mb        -544 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        36.58%       19.718s        36.58%       19.718s     482.438us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         40872            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.01%       4.598ms        24.10%       12.991s      27.293ms       0.000us         0.00%       16.154s      33.937ms           0 b           0 b      25.46 Gb    -740.17 Mb           476            --  
                       Conv2dRFFTPhasorFunctionBackward         0.19%     101.477ms        24.09%       12.987s      27.283ms       0.000us         0.00%       16.154s      33.937ms           0 b           0 b      26.18 Gb   -1775.49 Gb           476            --  
                                            aten::copy_         0.14%      74.456ms        23.20%       12.504s       1.117ms        1.590s         4.91%        1.590s     142.062us           0 b           0 b      -1.24 Gb      -1.24 Gb         11192            --  
                               Conv2dRFFTPhasorFunction         0.13%      71.070ms        18.96%       10.222s      21.476ms       0.000us         0.00%        8.844s      18.580ms           0 b           0 b     763.47 Mb    -902.43 Gb           476            --  
                                        aten::fft_rfftn         0.02%      10.217ms        15.16%        8.174s       3.434ms       0.000us         0.00%        2.222s     933.813us           0 b           0 b      57.57 Gb     -34.09 Gb          2380            --  
                       Conv2dRFFTPhasorFunction Step#11         9.98%        5.382s        15.07%        8.121s        8.121s       0.000us         0.00%        2.227s        2.227s          -4 b      -4.59 Mb     832.00 Kb      -1.03 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#10         9.98%        5.381s        15.06%        8.120s        8.120s       0.000us         0.00%        2.226s        2.226s          -4 b      -4.59 Mb    -832.00 Kb      -1.03 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#8         9.98%        5.381s        15.06%        8.119s        8.119s       0.000us         0.00%        2.227s        2.227s       9.19 Mb       4.59 Mb    -832.00 Kb      -1.03 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9         9.98%        5.380s        15.06%        8.119s        8.119s       0.000us         0.00%        2.227s        2.227s          -4 b      -4.59 Mb     832.00 Kb      -1.03 Gb             1            --  
                                        cudaMemcpyAsync        14.44%        7.785s        14.44%        7.785s       4.005ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1944            --  
                                              aten::abs         3.58%        1.929s        14.09%        7.598s       1.330ms       0.000us         0.00%        1.009s     176.682us           0 b           0 b      22.42 Gb     -85.52 Gb          5712            --  
                                               aten::to         0.00%      68.000us        12.57%        6.775s     423.440ms       0.000us         0.00%       8.727ms     545.438us      18.38 Mb           0 b      20.00 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     150.000us        12.57%        6.775s     564.582ms       0.000us         0.00%       8.727ms     727.250us      18.38 Mb           0 b      20.00 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      60.000us        12.56%        6.771s        1.693s       0.000us         0.00%       5.661ms       1.415ms      18.38 Mb           0 b     -20.00 Mb     -20.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      16.000us        12.56%        6.771s        1.693s       0.000us         0.00%       5.661ms       1.415ms      18.38 Mb           0 b           0 b           0 b             4            --  
                                         aten::_fft_r2c         0.14%      74.402ms        12.40%        6.682s       2.808ms        1.989s         6.14%        1.989s     835.873us           0 b           0 b      42.89 Gb    -124.30 Gb          2380            --  
                                            aten::angle         2.61%        1.409s        10.78%        5.812s       1.017ms       0.000us         0.00%        1.006s     176.107us           0 b           0 b      58.34 Gb     -84.30 Gb          5712            --  
                                       aten::fft_irfftn         0.01%       4.071ms         6.64%        3.581s       2.508ms       0.000us         0.00%        1.743s       1.220ms           0 b           0 b      26.93 Gb           0 b          1428            --  
                                         aten::_fft_c2r         0.10%      52.419ms         6.64%        3.577s       2.505ms        1.263s         3.90%        1.743s       1.220ms           0 b           0 b      26.93 Gb     -84.99 Gb          1428            --  
                                  aten::constant_pad_nd         0.03%      18.626ms         4.30%        2.319s       1.086ms       0.000us         0.00%     271.521ms     127.117us           0 b           0 b      52.51 Gb           0 b          2136            --  
                                              aten::mul         0.11%      60.453ms         4.16%        2.240s     392.125us       14.258s        44.03%       14.258s       2.496ms      -2.35 Kb      -2.35 Kb    1580.69 Gb    1580.69 Gb          5712  170362201.492  
                                            aten::clone         0.02%      12.975ms         3.68%        1.984s     519.476us       0.000us         0.00%     777.495ms     203.533us           0 b           0 b      86.04 Gb           0 b          3820            --  
                                              aten::add         0.06%      34.138ms         2.05%        1.103s     309.005us        2.836s         8.76%        2.836s     794.829us           0 b           0 b     317.20 Gb     317.20 Gb          3568    928612.352  
                                            aten::fill_         0.02%      10.850ms         1.73%     931.004ms     563.562us     200.542ms         0.62%     200.542ms     121.393us           0 b           0 b           0 b           0 b          1652            --  
                                              aten::pad         0.01%       3.084ms         1.56%     840.491ms     882.869us       0.000us         0.00%      38.423ms      40.360us           0 b           0 b       3.74 Gb           0 b           952            --  
                                             aten::add_         0.03%      15.430ms         1.42%     763.341ms     393.475us      12.256ms         0.04%      12.256ms       6.318us         -40 b         -40 b      -9.00 Kb      -9.00 Kb          1940            --  
      autograd::engine::evaluate_function: CatBackward0         0.02%      12.212ms         1.33%     718.633ms       2.898ms       0.000us         0.00%      17.474ms      70.460us           0 b           0 b      -1.12 Gb      -2.19 Gb           248            --  
                                              aten::sum         0.05%      24.598ms         1.25%     672.569ms     469.671us        2.887s         8.92%        2.887s       2.016ms           0 b           0 b      29.18 Gb      29.18 Gb          1432            --  
                                             aten::mul_         0.02%       9.363ms         1.22%     655.999ms     459.383us       0.000us         0.00%     230.502ms     161.416us           0 b       2.35 Kb           0 b           0 b          1428            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.380ms         1.10%     594.196ms     406.984us       0.000us         0.00%      11.153ms       7.639us           0 b           0 b     -24.31 Gb           0 b          1460            --  
                        torch::autograd::AccumulateGrad         0.01%       6.054ms         1.09%     588.816ms     403.299us       0.000us         0.00%      11.153ms       7.639us           0 b           0 b     -24.31 Gb     -24.31 Gb          1460            --  
                                              aten::exp         0.99%     535.075ms         0.99%     535.075ms     374.702us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     632.27 Gb     632.27 Gb          1428            --  
                                       aten::batch_norm         0.00%       1.107ms         0.39%     209.204ms     432.240us       0.000us         0.00%      26.268ms      54.273us           0 b           0 b       1.90 Gb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.00%       1.595ms         0.39%     208.097ms     429.952us       0.000us         0.00%      26.268ms      54.273us           0 b           0 b       1.90 Gb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.03%      17.398ms         0.38%     206.502ms     426.657us      26.268ms         0.08%      26.268ms      54.273us           0 b           0 b       1.90 Gb           0 b           484            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%       3.546ms         0.34%     181.883ms     375.791us       0.000us         0.00%      24.629ms      50.886us           0 b           0 b      -1.92 Gb      -3.88 Gb           484            --  
